美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
住吉神社（佐賀市）,佐賀県佐賀市東与賀町田中五本杉1666-4
天子社,佐賀県杵島郡江北町上小田3981
大町八幡神社,佐賀県杵島郡大町大町5691
英彦山神社,佐賀県杵島郡白石町横手
海童神社（佐賀県杵島郡）,佐賀県杵島郡白石町深浦856-1
妻山神社,佐賀県杵島郡白石町馬洗2409
乙宮神社（佐賀県三養基郡）,佐賀県三養基郡上峰町坊所
佐渡宮,佐賀県三養基郡上峰町坊所
天満宮（佐賀県三養基郡）,佐賀県三養基郡上峰町堤
宇佐八幡宮,佐賀県三養基郡上峰町坊所
祇園神社,佐賀県三養基郡みやき町原古賀
八大龍王社,佐賀県三養基郡みやき町東尾
宝満神社,佐賀県三養基郡みやき町中津隈3792
西乃宮八幡宮,佐賀県三養基郡みやき町西島298
白石神社,佐賀県三養基郡みやき町白壁3955
宇佐八幡宮,佐賀県三養基郡みやき町東津1292
若宮八幡神社（佐賀県三養基郡）,佐賀県三養基郡みやき町東尾2166
矢俣八幡宮,佐賀県三養基郡みやき町西島
内砥川八幡神社(上宮),佐賀県小城市牛津町上砥川内砥川695-1
八幡神社中宮,佐賀県小城市牛津町下砥川
八幡社（佐賀県）,佐賀県小城市三日月町織島
下宮八幡社,佐賀県小城市牛津町上砥川682
八幡宮（佐賀市東与賀町）,佐賀県佐賀市東与賀町下古賀乙807
岡山神社,佐賀県小城市小城町本町181
沖神社,佐賀県小城市芦刈町浜枝川482
乙宮神社（佐賀県小城市）,佐賀県小城市芦刈町芦溝445
乙宮社,佐賀県小城市牛津町牛津
山王神社（小城市）,佐賀県小城市三日月町堀江島溝
山王宮,佐賀県小城市三日月町長神田
須賀神社（小城市）,佐賀県小城市小城町松尾3594
天満宮（小城市芦刈町芦溝）,佐賀県小城市芦刈町芦溝571
八坂神社（佐賀市柳町）,佐賀県佐賀市柳町1-16
海童神社（佐賀市）,佐賀県佐賀市川副町犬井道624
蛎久天満宮,佐賀県佐賀市鍋島町蛎久1448
松原神社,佐賀県佐賀市松原2-10-43
満穴天満宮,佐賀県佐賀市本庄町末次867
松原神社,佐賀県佐賀市松原2-10-43
満穴天満宮,佐賀県佐賀市本庄町末次867
日天神社,佐賀県佐賀市材木1-5-14
太田神社,佐賀県佐賀市諸富町大堂1632
龍王宮,佐賀県佐賀市川副町小々森718
四面神社,佐賀県佐賀市嘉瀬町中原2044
白鬚神社（佐賀市久保泉町）,佐賀県佐賀市久保泉町上和泉1354
白鬚神社（佐賀市久保泉町下和泉）,佐賀県佐賀市久保泉町下和泉2689
管原天満宮,佐賀県佐賀市本庄町鹿子179
貴船神社（佐賀県武雄市）,佐賀県武雄市東川登町袴野10096
竃神社（長崎市宮摺町）,長崎県長崎市宮摺町558
諏訪神社（長崎市相生町）,長崎県長崎市相生町10-1
神浦神社（長崎市江川町）,長崎県長崎市江川町816-817
阿蘇神社（長崎市琴海戸根町）,長崎県長崎市琴海戸根町1262
壱岐神社,長崎県壱岐市芦辺町瀬戸浦103
聖母宮,長崎県壱岐市勝本町勝本浦554-2
鎮西大社諏訪神社,長崎県長崎市上西山町18-15
白鳥神社 (新上五島町),長崎県南松浦郡新上五島町間伏郷若山19
月讀神社 (壱岐市),長崎県壱岐市芦辺町国分東触464
塩釜神社（長崎市琴海形上町）,長崎県長崎市琴海形上町1260-ロ
竃神社（長崎市宮摺町）,長崎県長崎市宮摺町558
諏訪神社（長崎市相生町）,長崎県長崎市相生町10-1
塩釜神社（長崎市琴海形上町）,長崎県長崎市琴海形上町1260-ロ
伊都藝島神社（長崎市茂木町）,長崎県長崎市茂木町75-4
新田神社（長崎市大籠町）,長崎県長崎市大籠町1036
琴平神社（長崎市神浦扇山町）,長崎県長崎市神浦扇山町1155
塩竃神社（長崎市千々町）,長崎県長崎市千々町668
小ヶ倉神社,長崎県長崎市小ケ倉町2-21
天満神社（長崎市永田町）,長崎県長崎市永田町3237
三社大神社,長崎県長崎市長浦町840
深堀神社,長崎県長崎市深堀町5-181
大山神社,長崎県長崎市潮見町693-2
三社大神社,長崎県長崎市長浦町840
熊野神社（県長崎市野母町）,長崎県長崎市野母町2191
稲荷神社,長崎県長崎市茂木町949
八幡神社（長崎市古賀町）,長崎県長崎市古賀町1614
八幡神社（長崎市高浜町）,長崎県長崎市高浜町3963
大神宮神社,長崎県長崎市三重町1394
稲荷神社（長崎市水の浦町）,長崎県長崎市水の浦町105
五穀神社,長崎県長崎市上戸石町1233-1
天満神社（長崎市網場町）,長崎県長崎市網場町1-1
岩立神社,長崎県長崎市香焼町1061
五穀神社,長崎県長崎市上戸石町1233-1
事代主神社（長崎市神浦向町）,長崎県長崎市神浦向町10
脇岬神社,長崎県長崎市脇岬町1944-1
甑岩神社,長崎県長崎市飯香浦町3807-イ
長崎大神宮,長崎県長崎市栄町6-12
若宮稲荷神社,長崎県長崎市伊良林2-10-2
稲荷神社（長崎市田上）,長崎県長崎市田上1-6-7
川内神社,長崎県長崎市川内町429
稲荷神社（長崎市田上）,長崎県長崎市田上1-6-7
伊勢宮神社,長崎県長崎市飽之浦町4-16
天満神社（長崎市福田本町）,長崎県長崎市福田本町1211
立岩神社,長崎県長崎市立岩町6-17
川内神社,長崎県長崎市川内町429
戸町神社,長崎県長崎市戸町2-38
八坂神社（長崎市宿）,長崎県長崎市宿町610
事代主神社,長崎県長崎市福田本町1793
日山神社,長崎県長崎市野母町3311
大山祇神社（長崎市北浦町）,長崎県長崎市北浦町1758-イ
大山祇神社（長崎市竿浦町）,長崎県長崎市竿浦町1006
金刀比羅神社（長崎市西山）,長崎県長崎市西山1-938
日吉神社（長崎市飯香浦町）,長崎県長崎市飯香浦町東トヲメキ3546
池島神社（長崎市池島町）,長崎県長崎市池島町下大久保1567-乙
岩屋神社（長崎市岩屋町）,長崎県長崎市岩屋町798
左近稲荷神社,長崎県長崎市西山町2-15-36
神崎神社,長崎県長崎市木鉢町14
矢上神社,長崎県長崎市矢上町14-1
伊都岐島神社,長崎県長崎市東琴平1-16-1
神浦神社,長崎県長崎市神浦江川町816・817
淵神社,長崎県長崎市淵町8-1
中川八幡神社,長崎県長崎市中川2-9-21
伊勢宮,長崎県長崎市伊勢町2-14
桜馬場天満神社,長崎県長崎市桜馬場1-4-18
松嶋稲荷神社,長崎県長崎市本河内1-10-1
戸石神社,長崎県長崎市戸石町里名1169
裳着神社,長崎県長崎市茂木町辻232
淡島神社（長崎市向町）,長崎県長崎市向町313
愛宕神社（長崎市小江原町）,長崎県長崎市小江原町1-30-1
乙宮神社（長崎市向町）,長崎県長崎市向町316
松の森天満宮,長崎県長崎市上西山町4-3
西山神社,長崎県長崎市西山本町8-18
出雲大社 長崎分院,長崎県長崎市桜町8-5
香取神社（長崎市琴海町）,長崎県長崎市琴海町西海郷1906
烏岩神社,長崎県長崎市平戸小屋町49
山王神社 (長崎市),長崎県長崎市坂本2丁目6-56
木鉢神社,長崎県長崎市木鉢町557
長崎縣護國神社,長崎県長崎市城栄町41-67
宮地嶽神社,長崎県長崎市八幡町8-6
八幡神社（長崎市中川町）,長崎県長崎市中川町40
恵美須神社,長崎県長崎市飽の浦町5-19
加茂神社（長崎市大崎町）,長崎県長崎市大崎町570
住吉神社（長崎市住吉町）,長崎県長崎市住吉町13-6
白髭神社,長崎県長崎市柿泊町1028
八坂神社（長崎市深堀町）,長崎県長崎市深堀町2-194
八幡神社（長崎市岩瀬道町）,長崎県長崎市岩瀬道町104
道盛神社,長崎県長崎市樫山町1710
諏訪神社（長崎市園田町）,長崎県長崎市園田町2533
塩竃大山祇神社,長崎県長崎市琴海形上町1260-ロ
八坂神社（長崎市鍛冶屋町）,長崎県長崎市鍛冶屋町8-53
熱田神社（長崎市畝刈町）,長崎県長崎市畝刈町298
櫻谷神社,長崎県長崎市立神町189
八幡神社（長崎市琴海尾戸町）,長崎県長崎市琴海尾戸町1933
滑石太神宮,長崎県長崎市滑石6-1-11
白髭神社（長崎市伊王島町）,長崎県長崎市伊王島町伊王島492
海神神社,長崎県対馬市峰町木坂247
興神社,長崎県壱岐市芦辺町湯岳興触676
天手長男神社,長崎県壱岐市郷ノ浦町田中触730
住吉神社 (壱岐市),長崎県壱岐市芦辺町住吉東触470
厳原八幡宮神社,長崎県対馬市厳原町中村字清水山６４５
早川厳島神社,熊本県上益城郡甲佐町早川762
彦嶽宮,熊本県山鹿市津留2248
加藤神社,熊本県熊本市本丸2-1
佐伊津神社,熊本県天草市佐伊津町2437
楠甫神社,熊本県天草市有明町楠甫758
阿村神社,熊本県上天草市松島町阿村1011
合津神社,熊本県上天草市松島町合津3820
御領神社（熊本県天草市）,熊本県天草市五和町御領6846
屋形菅原神社,熊本県天草市宮地岳町2716
石村八幡宮,熊本県山鹿市石1871
二江神社,熊本県天草市五和町二江2750
楠浦諏訪神社,熊本県天草市楠浦町3153
本村神社,熊本県天草市本町本638
八幡宮（天草市八幡町）,熊本県天草市八幡町6-30
湯船原諏訪神社,熊本県天草市栖本町湯船原997
上津浦諏訪神社,熊本県天草市有明町上津浦1193-7
宮田神社,熊本県天草市倉岳町宮田242
赤崎神社,熊本県上天草市龍ケ岳町大道986
大島子諏訪神社,熊本県天草市有明町大島子1891
石村八幡宮,熊本県山鹿市石1871
教良木菅原神社,熊本県上天草市松島町教良木2871
岡留熊野座神社,熊本県球磨郡あさぎり町免田西1579
坂瀬川神社,熊本県天草郡苓北町坂瀬川2696
御所浦菅原神社,熊本県天草市御所浦町御所浦3568
牛深八幡宮,熊本県天草市牛深町3198
岩野霧島神社,熊本県球磨郡水上村岩野3053
岩野神社,熊本県山鹿市鹿北町岩野281
志岐八幡宮,熊本県天草郡苓北町志岐1
富岡伊弉那伎神社,熊本県天草郡苓北町富岡3157
石村八幡宮,熊本県山鹿市石1871
岡原霧島神社,熊本県球磨郡あさぎり町岡原南62-3
窪田阿蘇神社,熊本県菊池郡大津町町258
久米熊野座神社,熊本県球磨郡多良木町久米1098
槻木菅原神社,熊本県球磨郡多良木町槻木716
井口八幡宮,熊本県人吉市井ノ口町949
唐渡神社,熊本県人吉市下戸越町唐渡神1056
渡阿蘇神社,熊本県球磨郡球磨村渡乙73
阿蘇神社（球磨郡あさぎり町）,熊本県球磨郡あさぎり町下里791
五木阿蘇神社,熊本県球磨郡五木村甲2997-39
石村八幡宮,熊本県山鹿市石1871
神瀬住吉神社,熊本県球磨郡球磨村神瀬乙4
松井神社,熊本県八代市北の丸町2-18
迫間八幡宮,熊本県玉名市両迫間1144
八代神社　/　妙見宮,熊本県八代市妙見町405
水俣諏訪神社,熊本県水俣市長野町3-1
湯浦諏訪神社,熊本県葦北郡芦北町宮崎255
住吉神社（水俣市越小場）,熊本県水俣市越小場53
佐敷諏訪神社,熊本県葦北郡芦北町花岡10
濱八幡宮,熊本県水俣市八幡町3丁目3-1
石村八幡宮,熊本県山鹿市石1871
若宮神社（下益城郡美里町）,熊本県下益城郡美里町馬場605
豊野神社,熊本県宇城市豊野町上郷1859
梅林天満宮,熊本県玉名市津留499
守山八幡宮,熊本県宇城市小川町南部田1108
古保山菅原神社,熊本県宇城市松橋町古保山1074
豊福阿蘇神社,熊本県宇城市松橋町豊福503
松橋神社,熊本県宇城市松橋町松橋1218
小木阿蘇神社,熊本県熊本市南区城南町塚原997
柿迫神社,熊本県八代市泉町柿迫4830
石村八幡宮,熊本県山鹿市石1871
貝洲加藤神社,熊本県八代市鏡町貝洲699
古麓稲荷神社,熊本県八代市古麓町869
宮原両神社,熊本県阿蘇郡小国町宮原1670
二見神社,熊本県八代市二見本町695
六嘉神社,熊本県上益城郡嘉島町下六嘉3321
北木倉四宮神社,熊本県上益城郡御船町木倉6545
辺田見若宮神社,熊本県上益城郡御船町辺田見492
水越神社,熊本県上益城郡御船町水越2575
中原神社,熊本県上益城郡御船町田代4428
石村八幡宮,熊本県山鹿市石1871
小一領神社,熊本県上益城郡山都町浜町251
男成神社,熊本県上益城郡山都町男成519
大川阿蘇神社,熊本県上益城郡山都町大平120
竹迫阿蘇神社,熊本県下益城郡美里町豊富1132
勢井阿蘇神社,熊本県下益城郡美里町大井早3897
穂積阿蘇神社,熊本県下益城郡美里町三和10
佐俣阿蘇神社,熊本県下益城郡美里町佐俣548
草部吉見神社,熊本県阿蘇郡高森町草部2175
高森阿蘇神社,熊本県阿蘇郡高森町高森354-2
石村八幡宮,熊本県山鹿市石1871
内牧菅原神社,熊本県阿蘇市内牧416
霜神社,熊本県阿蘇市役犬原1005
甲斐神社（上益城郡嘉島町）,熊本県上益城郡嘉島町上六嘉2242
立田口大神宮,熊本県熊本市中央区坪井4-3-41
津森神宮,熊本県上益城郡益城町寺中706
鯰三神社,熊本県上益城郡嘉島町鯰1985
上島四所神社,熊本県上益城郡嘉島町上島2696
竹迫日吉神社,熊本県合志市豊岡231
住吉日吉神社,熊本県菊池市泗水町住吉4507
石村八幡宮,熊本県山鹿市石1871
平川淀姫神社,熊本県菊池郡大津町平川236
真木大神宮,熊本県菊池郡大津町真木1442
大津日吉神社,熊本県菊池郡大津町大津2184
原村菅原神社,熊本県菊池市原1550
下河原四宮神社,熊本県菊池市下河原432
北宮阿蘇神社,熊本県菊池市北宮64
雪野八幡宮,熊本県菊池市雪野1122
祖母神社,熊本県阿蘇郡高森町高森2551
菅原神社（山鹿市鹿北町）,熊本県山鹿市鹿北町椎持2212
石村八幡宮,熊本県山鹿市石1871
大分縣護國神社,大分県大分市大字牧1371
薦神社,大分県中津市大字大貞209
雲八幡宮,大分県中津市耶馬溪町宮園363
上野若宮八幡社,大分県大分市上野町10-28
春日神社 (豊後高田市),大分県豊後高田市草地5207-3
春日神社 (大分市),大分県大分市勢家町4丁目6-87
扇森稲荷神社,大分県竹田市拝田原８１１
大原八幡宮,大分県日田市田島2丁目184
丹生神社,大分県大分市大字佐野567
末広神社,大分県臼杵市末広
末広神社,大分県臼杵市末広
春日神社 (豊後高田市),大分県豊後高田市草地5207-3
豊後一ノ宮阿蘇神社,大分県大分市宮河内火振
鉾神社,大分県大分市葛木
北天満神社,大分県大分市大在北1-2
霧嶋神社,大分県由布市湯布院町塚原
毛井八幡社,大分県大分市大字毛井
野間天満神社/三王神社,大分県大分市丹川字野間
野坂神社,大分県大分市大字三佐八坂769
志村天満社,大分県大分市大字志村2
龍神社,大分県大分市三佐2
志村天満社,大分県大分市大字志村2
阿蘇神社（大分市）,大分県大分市宮河内迫阿蘇入
阿蘇神社（杵築市）,大分県杵築市大字八坂2100
愛宕神社（大分市）,大分県大分市三佐4
井手八幡社,大分県速見郡日出町大字藤原301
稲荷神社（大分市）,大分県大分市大字丹生695
臼杵護国神社/稲葉神社,大分県臼杵市臼杵
延命寺神社/厳島神社,大分県大分市大字丹川延命寺
王子神社,大分県大分市王子北町110
王ノ瀬天満社,大分県大分市王ノ瀬1-12
王子神社,大分県大分市王子北町110
岡神社,大分県竹田市竹田町2627-1
乙津天満社,大分県大分市乙津字信通寺175
温泉神社,大分県別府市御幸
下久所天満社,大分県大分市丹川字下久所
加倉神社,大分県大分市大字高崎
火男火売神社,大分県別府市火売東山
賀来神社,大分県大分市賀来
久原神社,大分県大分市久原中央2-7
刈目八幡社,大分県速見郡日出町大字南端高平刈目
久原神社,大分県大分市久原中央2-7
宮谷天神社,大分県大分市宮河内宮谷
熊野神社（大分市）,大分県大分市下戸次
剣八幡宮,大分県大分市東鶴崎3
原神社,大分県大分市大字佐野字三ヶ月2113
御手洗神社,大分県大分市大字松岡6000
御霊社,大分県大分市牧2
光金稲荷神社,大分県大分市向原沖3-2
妻垣神社,大分県宇佐市安心院町妻垣203
国宗天満神社,大分県大分市鶴崎国宗
今宮八幡宮,大分県大分市松岡字成松
妻垣神社,大分県宇佐市安心院町妻垣203
三ッ川天満社,大分県大分市三川下2
山神社,大分県大分市大字広内
産乃神社,大分県大分市大字丹川字誓願寺
若宮八幡宮,大分県大分市森102
若宮八幡社（大分市大字南）,大分県大分市大字南171
秋葉稲荷神社,大分県別府市秋葉町1
秋葉神社,大分県別府市秋葉町1-1
住吉神社（大分市住吉町）,大分県大分市住吉町2-2-32
住吉神社（大分市大在中央）,大分県大分市大在中央1
宿善神社,大分県大分市永興旭町5
小中島天満社,大分県大分市小中島1-7
城原天満神社,大分県大分市城原
城南神社/永興正八幡社,大分県大分市永興1175
水分神社,大分県大分市大字横尾
西新町天満社,大分県大分市中央町4-2-23
青島神社,大分県大分市三芳
石垣神社,大分県別府市石垣西4-1
石鎚神社,大分県大分市大字下郡東14-3
早吸日女神社,大分県大分市大字佐賀関3329
霜凝神社,大分県大分市大字下郡北2
太刀振社,大分県大分市三佐4
太平神社,大分県大分市三芳太平町
大杵社,大分県由布市湯布院町川南746-19
大分春日神社,大分県大分市勢家町4-6-87
鷹松神社,大分県大分市高松2-2-23
長浜神社,大分県大分市長浜町1-8-7
辻ノ堂愛宕神社,大分県速見郡日出町大神932
鶴ヶ岡八幡宮,大分県杵築市山香町大字南畑富田
鶴崎大神宮,大分県大分市東鶴崎1-4-28
日吉神社（大分市久原北）,大分県大分市久原北12
日吉神社（大分市久原北）,大分県大分市大字屋山710
日吉神社（大分市木田）,大分県大分市木田1557-1
日吉神社（大分市木田）,大分県大分市丹川字上久所
日出若宮八幡神社,大分県速見郡日出町2831-1
萩原天満社,大分県大分市萩原2
白嵩神社,大分県大分市大字迫
白鳥神社（大分市）,大分県大分市千歳965
八坂神社（臼杵市）,大分県臼杵市大字祇園洲1
八坂神社（大分県速見郡）,大分県速見郡日出町平道
八坂神社（大分市小池原）,大分県大分市小池原字尾崎
八坂神社（大分市猪野）,大分県大分市猪野654
八柱神社,大分県大分市屋山2281
八津島神社,大分県速見郡日出町豊岡5414
八日市天満社,大分県速見郡日出町2492-1
八幡朝見神社/朝見八幡宮,大分県別府市朝見2-15-19
八幡奈多宮,大分県杵築市奈多229
八幡竈門神社,大分県別府市内竈1900
野島神社,宮崎県宮崎市大字内海6227
広原神社,宮崎県宮崎市広原5832
天岩戸神社,宮崎県西臼杵郡高千穂町岩戸1073番地1
宮崎縣護國神社,宮崎県宮崎市神宮2-4-3
長嶺神社,宮崎県宮崎市大字長嶺292
霧島東神社,宮崎県西諸県郡高原町蒲牟田６４３７
跡江神社,宮崎県宮崎市大字跡江810番地
宮崎八幡宮,宮崎県宮崎市宮田町3-27
西上那珂神社,宮崎県宮崎市佐土原町西上那珂145
東上那珂神社,宮崎県宮崎市佐土原町東上那珂13945番地
八幡神社（宮崎市吉村町）,宮崎県宮崎市吉村町宮ノ脇甲2133
恒久神社,宮崎県宮崎市大字恒久582
宮崎天満宮,宮崎県宮崎市谷川町天神山公園
一葉稲荷神社,宮崎県宮崎市新別府町前浜1402
名田神社,宮崎県宮崎市下北方町平ノ下5217-1
白鳥神社 (えびの市),宮崎県えびの市大字末永1479
宮崎県護國神社,宮崎県宮崎市神宮2-4-3
加護神社（宮崎市）,宮崎県宮崎市大字郡司分国富2225
加護神社（宮崎市）,宮崎県宮崎市大字郡司分国富2225
青島神社,宮崎県宮崎市青島2-13-1
住吉神社（宮崎市塩路）,宮崎県宮崎市大字塩路3082
住吉神社（宮崎市阿波岐原町）,宮崎県宮崎市阿波岐原町竹割2409
細江神社,宮崎県宮崎市細江12-13
江田神社,宮崎県宮崎市阿波岐原町産母127-イ号・ロ号
愛宕神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町上田島789
生目神社,宮崎県宮崎市大字生目345
瀬頭神社,宮崎県宮崎市永楽町85
大島神社,宮崎県宮崎市大島町本村200
磐戸神社,宮崎県宮崎市上北方751
今泉神社,宮崎県宮崎市清武町今泉丙1525
諏訪神社（宮崎市芳士）,宮崎県宮崎市大字芳士1159-2
佐土原神社,宮崎県宮崎市佐土原町上田島1342
炎尾神社,宮崎県宮崎市清武町船引1508-2
広瀬護国神社,宮崎県宮崎市佐土原町下那珂3960-5
若宮神社（宮崎市小松）,宮崎県宮崎市大字小松777
古城神社,宮崎県宮崎市古城町時雨3861
田野天建神社,宮崎県宮崎市田野町甲2793
船引神社,宮崎県宮崎市清武町船引6622
熊野神社（宮崎市山崎）,宮崎県宮崎市山崎町四郎房906
住吉神社（宮崎市塩路）,宮崎県宮崎市大字塩路3082
天満神社（宮崎市堤内）,宮崎県宮崎市堤内235
高屋神社,宮崎県宮崎市村角町橘尊1975
白髭神社（宮崎市有田）,宮崎県宮崎市大字有田2311
八坂神社（宮崎市城ヶ崎）,宮崎県宮崎市城ヶ崎3丁目9-4
松熊神社,宮崎県宮崎市小戸町36番地
八手神社,宮崎県宮崎市大字田吉6046
河上神社,宮崎県宮崎市大瀬町上畑4422
淀川橘稲荷神社,宮崎県宮崎市淀川2-22
岩ヶ瀬水神神社,宮崎県宮崎市吾妻町109
岩ヶ瀬水神神社,宮崎県宮崎市吾妻町109
下那珂神社,宮崎県宮崎市佐土原町下那珂11678
福島神社,宮崎県宮崎市佐土原町下田島13608
菅原神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町下田島887-1
姥ヶ嶽神社,宮崎県宮崎市鏡洲九平3976-3
加納神社,宮崎県宮崎市清武町加納乙253
加江田神社,宮崎県宮崎市学園木花台桜1-29-4
加江田神社,宮崎県宮崎市学園木花台桜1-29-4
富吉神社,宮崎県宮崎市富吉4898-1
八坂神社（宮崎市糸原）,宮崎県宮崎市糸原319-1
八坂神社（宮崎市跡江）,宮崎県宮崎市跡江3323-イ
富吉神社,宮崎県宮崎市富吉4898-1
八坂神社（宮崎市糸原）,宮崎県宮崎市糸原319-1
八坂神社（宮崎市跡江）,宮崎県宮崎市跡江3323-イ
八坂神社（宮崎市跡江）,宮崎県宮崎市跡江1602－乙
八幡神社（宮崎市島之内）,宮崎県宮崎市島之内7599
花見神社,宮崎県宮崎市高岡町花見1312-ﾛ
花見神社,宮崎県宮崎市高岡町花見1312-ﾛ
古舘神社,宮崎県宮崎市佐土原町上田島3696-1
堤神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町上田島4039
阿佐加利神社,宮崎県宮崎市佐土原町下田島4012-ロ
稲荷神社,宮崎県宮崎市佐土原町上田島1832
稲荷神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町上田島768-ロ
八坂神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町上田島1714-3
八坂神社（宮崎市佐土原町）,宮崎県宮崎市佐土原町上田島1714-3
下田島神社,宮崎県宮崎市佐土原町下田島12218－1
吉村八幡神社,宮崎県宮崎市吉村町宮脇甲2133
高岡護国神社,宮崎県宮崎市高岡町内山2906-2
中野神社,宮崎県宮崎市清武町木原525
倉岡神社,宮崎県宮崎市糸原3295
穆佐護国神社,宮崎県宮崎市高岡町小山田925-7
八坂神社（宮崎市高岡町）,宮崎県宮崎市高岡町上倉永1905
熊野神社（宮崎市高岡町）,宮崎県宮崎市高岡町五町1029
久峯神社,宮崎県宮崎市佐土原町下田島14056
霧島神社（宮崎市大島町）,宮崎県宮崎市大島町平原997
小松神社（宮崎市小松）,宮崎県宮崎市大字小松1930
加納神社,宮崎県宮崎市清武町加納乙253
早馬神社,宮崎県宮崎市高岡町飯田2204
高濱神社,宮崎県宮崎市高岡町高浜508
青島神社,宮崎県宮崎市青島2-13-1
浦安四柱神社,宮崎県宮崎市佐土原町上田島1942-1
粟野神社,宮崎県宮崎市高岡町下倉永684
伊勢神社（宮崎市高岡町）,宮崎県宮崎市高岡町浦之名4138-2
内山神社,宮崎県宮崎市高岡町内山2815-ﾛ
田元神社,宮崎県宮崎市大字本郷南方3940-1
八幡神社（宮崎市大瀬町）,宮崎県宮崎市大瀬町5714
熊野神社（宮崎市江平東）,宮崎県宮崎市江平東1-1-16
金﨑神社（宮崎市金崎）,宮崎県宮崎市大字金崎2995
巨田神社,宮崎県宮崎市佐土原町上田島10732
粟野神社（宮崎市高岡町）,宮崎県宮崎市高岡町高浜2186
若宮神社（宮崎市吉野）,宮崎県宮崎市吉野108
鹿児島神宮,鹿児島県霧島市隼人町内2496
枚聞神社,鹿児島県指宿市開聞十町1366
鹿児島県護国神社,鹿児島県鹿児島市草牟田二丁目60番7号
宮浦宮,鹿児島県霧島市福山町福山2437
豊玉姫神社(南九州市),鹿児島県南九州市知覧町郡16510
春日神社 (鹿児島市),鹿児島県鹿児島市春日町4-38
菅原神社 (薩摩川内市東郷町藤川),鹿児島県薩摩川内市東郷町藤川1267
熊野神社 (出水市),鹿児島県出水市野田町下名5930
剱神社,鹿児島県霧島市国分敷根99
鎮守神社（鹿児島市喜入町）,鹿児島県鹿児島市喜入町10100-2
羽出島神社,鹿児島県鹿児島市喜入生見町396
羽出島神社,鹿児島県鹿児島市喜入生見町396
春日神社 (鹿児島市),鹿児島県鹿児島市春日町4-38
猿田王子神社,鹿児島県鹿児島市東佐多町3101-1
菅原神社 (薩摩川内市東郷町藤川),鹿児島県薩摩川内市東郷町藤川1267
鎮守神社（鹿児島市直木町）,鹿児島県鹿児島市直木町3806
近都宮神社,鹿児島県鹿児島市油須木町1152
金峯神社（鹿児島市西佐多町）,鹿児島県鹿児島市西佐多町4635
剱神社,鹿児島県霧島市国分敷根99
金峯神社（鹿児島市西佐多町）,鹿児島県鹿児島市西佐多町4635
蛭子神社（鹿児島市喜入前之浜町）,鹿児島県鹿児島市喜入前之浜町189
若宮神社（鹿児島市東桜島町）,鹿児島県鹿児島市東桜島町345-1
鎮守神社（鹿児島市宮之浦町）,鹿児島県鹿児島市宮之浦町251
水神社,鹿児島県鹿児島市喜入前之浜町7109
小長崎神社,鹿児島県鹿児島市福山町234
伊勢神社（鹿児島市喜入生見町）,鹿児島県鹿児島市喜入生見町1406
菅原神社 (薩摩川内市東郷町藤川),鹿児島県薩摩川内市東郷町藤川1267
小鷹神社（鹿児島市皆与志町）,鹿児島県鹿児島市皆与志町3538
剱神社,鹿児島県霧島市国分敷根99
小烏神社（鹿児島市桜島小池町）,鹿児島県鹿児島市桜島小池町56
菅原神社 (薩摩川内市東郷町藤川),鹿児島県薩摩川内市東郷町藤川1267
南方神社（鹿児島市桜島武町）,鹿児島県鹿児島市桜島武町210
愛宕枚聞神社,鹿児島県鹿児島市桜島赤水町1004
南方神社（鹿児島市岡之原町）,鹿児島県鹿児島市岡之原町3533
水神社（鹿児島市桜島松浦町）,鹿児島県鹿児島市桜島松浦町46
豊受大山津見神社,鹿児島県鹿児島市桜島白浜町1098
若宮神社（鹿児島市有村町）,鹿児島県鹿児島市有村町478
照国神社,鹿児島県鹿児島市照国町19-35
剱神社,鹿児島県霧島市国分敷根99
尾地底神社,鹿児島県鹿児島市桜島赤生原町217
熊野神社（鹿児島市郡山岳町）,鹿児島県鹿児島市郡山岳町2313-2
日枝神社（鹿児島市原良町）,鹿児島県鹿児島市原良町3136
智賀尾神社,鹿児島県鹿児島市郡山岳町176
牟禮神社,鹿児島県鹿児島市宮之浦町3829
塞神社,鹿児島県鹿児島市喜入中名町1037
火産霊神社,鹿児島県鹿児島市喜入町5790
南方神社（鹿児島市清水町）,鹿児島県鹿児島市清水町124
花尾神社（鹿児島市花尾町）,鹿児島県鹿児島市花尾町4043
剱神社,鹿児島県霧島市国分敷根99
日枝神社（鹿児島市川上町）,鹿児島県鹿児島市川上町1564
南方神社（鹿児島市喜入町）,鹿児島県鹿児島市喜入町9136-イ
柏原神社（鹿児島市）,鹿児島県鹿児島市谷山中央2-4155
日枝神社（鹿児島市常盤町）,鹿児島県鹿児島市常盤町324
原五社神社,鹿児島県鹿児島市吉野町6648
小鷹神社,鹿児島県鹿児島市下田町1171
塚田神社,鹿児島県鹿児島市岡之原町1012
枚聞神社（鹿児島市）,鹿児島県鹿児島市犬迫町11801
三柱神社（鹿児島市）,鹿児島県鹿児島市桜島西道町604
鎮守神社（鹿児島市吉野町）,鹿児島県鹿児島市吉野町2593
